trade_date,ticker,rolling_vol_30d
2025-04-23,MSFT,0.398058
2025-04-24,MSFT,0.409727
2025-04-25,MSFT,0.409216
2025-04-28,MSFT,0.402907
2025-04-29,MSFT,0.403375
2025-04-30,MSFT,0.401264
2025-05-01,MSFT,0.454068
2025-05-02,MSFT,0.457124
2025-05-05,MSFT,0.456684
2025-05-06,MSFT,0.457672
2025-05-07,MSFT,0.457755
2025-05-08,MSFT,0.455572
2025-05-09,MSFT,0.455587
2025-05-12,MSFT,0.447259
2025-05-13,MSFT,0.445473
2025-05-14,MSFT,0.444184
2025-05-15,MSFT,0.443957
2025-05-16,MSFT,0.435401
2025-05-19,MSFT,0.416948
2025-05-20,MSFT,0.415977
2025-05-21,MSFT,0.417147
2025-05-22,MSFT,0.314993
2025-05-23,MSFT,0.307049
2025-05-27,MSFT,0.308998
2025-05-28,MSFT,0.310555
2025-05-29,MSFT,0.308958
2025-05-30,MSFT,0.282442
2025-06-02,MSFT,0.277884
2025-06-03,MSFT,0.262735
2025-06-04,MSFT,0.260657
2025-06-05,MSFT,0.258007
2025-06-06,MSFT,0.245581
2025-06-09,MSFT,0.245161
2025-06-10,MSFT,0.245828
2025-06-11,MSFT,0.245934
2025-06-12,MSFT,0.246534
2025-06-13,MSFT,0.1409
2025-06-16,MSFT,0.129732
2025-06-17,MSFT,0.130671
2025-06-18,MSFT,0.127535
2025-06-20,MSFT,0.130018
2025-06-23,MSFT,0.134882
2025-06-24,MSFT,0.135413
2025-06-25,MSFT,0.121668
2025-06-26,MSFT,0.123006
2025-06-27,MSFT,0.123474
2025-06-30,MSFT,0.123449
2025-07-01,MSFT,0.12967
2025-07-02,MSFT,0.128421
2025-07-03,MSFT,0.133463
2025-07-07,MSFT,0.126848
2025-07-08,MSFT,0.127645
2025-07-09,MSFT,0.125116
2025-07-10,MSFT,0.112856
2025-07-11,MSFT,0.108878
2025-07-14,MSFT,0.109418
2025-07-15,MSFT,0.109634
2025-07-16,MSFT,0.110096
2025-07-17,MSFT,0.112986
2025-07-18,MSFT,0.114483
2025-07-21,MSFT,0.113844
2025-07-22,MSFT,0.118749
2025-07-23,MSFT,0.118541
2025-07-24,MSFT,0.119028
2025-07-25,MSFT,0.119272
2025-07-28,MSFT,0.116066
2025-07-29,MSFT,0.112127
2025-07-30,MSFT,0.110652
2025-07-31,MSFT,0.152229
2025-08-01,MSFT,0.163842
2025-08-04,MSFT,0.170306
2025-08-05,MSFT,0.173051
2025-08-06,MSFT,0.173728
2025-08-07,MSFT,0.175987
2025-08-08,MSFT,0.174171
2025-08-11,MSFT,0.173746
2025-08-12,MSFT,0.177385
2025-08-13,MSFT,0.181467
2025-08-14,MSFT,0.181159
2025-08-15,MSFT,0.177482
2025-08-18,MSFT,0.178427
2025-08-19,MSFT,0.183607
2025-08-20,MSFT,0.181205
2025-08-21,MSFT,0.180834
2025-08-22,MSFT,0.181301
2025-08-25,MSFT,0.182156
2025-08-26,MSFT,0.181905
2025-08-27,MSFT,0.183899
2025-08-28,MSFT,0.181353
2025-08-29,MSFT,0.181881
2025-09-02,MSFT,0.18208
2025-09-03,MSFT,0.180058
2025-09-04,MSFT,0.180616
2025-09-05,MSFT,0.192551
2025-09-08,MSFT,0.192829
2025-09-09,MSFT,0.192815
2025-09-10,MSFT,0.193273
2025-09-11,MSFT,0.19327
2025-09-12,MSFT,0.16288
2025-09-15,MSFT,0.15916
2025-09-16,MSFT,0.148118
2025-09-17,MSFT,0.143237
2025-09-18,MSFT,0.142815
2025-09-19,MSFT,0.151783
2025-09-22,MSFT,0.152764
2025-09-23,MSFT,0.155277
2025-09-24,MSFT,0.149077
2025-09-25,MSFT,0.143015
2025-09-26,MSFT,0.14506
2025-09-29,MSFT,0.145851
2025-09-30,MSFT,0.146107
2025-10-01,MSFT,0.140089
2025-10-02,MSFT,0.139933
2025-10-03,MSFT,0.139958
2025-10-06,MSFT,0.151451
2025-10-07,MSFT,0.152801
2025-10-08,MSFT,0.151866
2025-10-09,MSFT,0.151047
2025-10-10,MSFT,0.16385
2025-10-13,MSFT,0.163724
2025-10-14,MSFT,0.163437
2025-10-15,MSFT,0.163455
2025-10-16,MSFT,0.163283
2025-10-17,MSFT,0.144653
2025-10-20,MSFT,0.144589
2025-10-21,MSFT,0.144572
2025-10-22,MSFT,0.144895
2025-10-23,MSFT,0.144944
2025-10-24,MSFT,0.13739
2025-10-27,MSFT,0.140558
2025-10-28,MSFT,0.144697
2025-10-29,MSFT,0.144966
2025-10-30,MSFT,0.169651
2025-10-31,MSFT,0.167716
2025-11-03,MSFT,0.166603
2025-11-04,MSFT,0.164608
2025-11-05,MSFT,0.169509
2025-11-06,MSFT,0.177875
2025-11-07,MSFT,0.175737
2025-11-10,MSFT,0.183249
2025-11-11,MSFT,0.182892
2025-11-12,MSFT,0.183197
2025-11-13,MSFT,0.187009
2025-11-14,MSFT,0.191222
2025-11-17,MSFT,0.180186
2025-11-18,MSFT,0.193556
2025-11-19,MSFT,0.196022
2025-11-20,MSFT,0.199745
2025-11-21,MSFT,0.194209
2025-11-24,MSFT,0.193534
2025-11-25,MSFT,0.195139
2025-11-26,MSFT,0.203389
2025-11-28,MSFT,0.2078
2025-12-01,MSFT,0.208994
2025-12-02,MSFT,0.20914
2025-12-03,MSFT,0.219212
2025-12-04,MSFT,0.219522
2025-12-05,MSFT,0.220405
2025-12-08,MSFT,0.225586
2025-12-09,MSFT,0.220284
2025-12-10,MSFT,0.221282
2025-12-11,MSFT,0.224851
2025-12-12,MSFT,0.212938
2025-12-15,MSFT,0.21043
2025-12-16,MSFT,0.211111
2025-12-17,MSFT,0.211038
2025-12-18,MSFT,0.214876
2025-12-19,MSFT,0.208338
2025-12-22,MSFT,0.208379
2025-12-23,MSFT,0.201165
2025-12-24,MSFT,0.200555
2025-12-26,MSFT,0.199768
2025-12-29,MSFT,0.195499
2025-12-30,MSFT,0.190782
2025-12-31,MSFT,0.191384
2026-01-02,MSFT,0.186325
2026-01-05,MSFT,0.182831
2026-01-06,MSFT,0.180737
2026-01-07,MSFT,0.178672
2026-01-08,MSFT,0.181594
2026-01-09,MSFT,0.180862
2026-01-12,MSFT,0.173621
2026-01-13,MSFT,0.172505
2026-01-14,MSFT,0.182378
2026-01-15,MSFT,0.180944
2026-01-16,MSFT,0.169783
2026-01-20,MSFT,0.170709
2026-01-21,MSFT,0.179697
2026-01-22,MSFT,0.179311
2026-01-23,MSFT,0.205742
2026-01-26,MSFT,0.193538
2026-01-27,MSFT,0.201652
2026-01-28,MSFT,0.199521
2026-01-29,MSFT,0.34823
2026-01-30,MSFT,0.347995
2026-02-02,MSFT,0.349837
2026-02-03,MSFT,0.351678
2026-02-04,MSFT,0.352508
2026-02-05,MSFT,0.374409
2026-02-06,MSFT,0.380371
2026-02-09,MSFT,0.394286
2026-02-10,MSFT,0.394271
2026-02-11,MSFT,0.396799
2026-02-12,MSFT,0.396316
2026-02-13,MSFT,0.39651
2026-02-17,MSFT,0.393968
2026-02-18,MSFT,0.395289
2026-02-19,MSFT,0.392297
2026-02-20,MSFT,0.389535
2026-02-23,MSFT,0.396331
2026-02-24,MSFT,0.399052
2026-02-25,MSFT,0.412281
2026-02-26,MSFT,0.412178
2026-02-27,MSFT,0.411567
2026-03-02,MSFT,0.415304
2026-03-03,MSFT,0.41717
2026-03-04,MSFT,0.416991
2026-03-05,MSFT,0.415589
2026-03-06,MSFT,0.412206
2026-03-09,MSFT,0.398842
2026-03-10,MSFT,0.397154
2026-03-11,MSFT,0.389559
2026-03-12,MSFT,0.38897
2026-03-13,MSFT,0.274709
2026-03-16,MSFT,0.277176
2026-03-17,MSFT,0.274143
2026-03-18,MSFT,0.267458
2026-03-19,MSFT,0.266683
2026-03-20,MSFT,0.23248
2026-03-23,MSFT,0.22539
2026-03-24,MSFT,0.215548
2026-03-25,MSFT,0.215449
2026-03-26,MSFT,0.211011
2026-03-27,MSFT,0.22001
2026-03-30,MSFT,0.221729
2026-03-31,MSFT,0.241522
2026-04-01,MSFT,0.240052
2026-04-02,MSFT,0.243083
2026-04-06,MSFT,0.243067
2026-04-07,MSFT,0.226263
2026-04-08,MSFT,0.22398
2026-04-09,MSFT,0.204514
2026-04-10,MSFT,0.204199
2022-01-04,NVDA,0.0
2022-01-05,NVDA,0.237935
2022-01-06,NVDA,0.512479
2022-01-07,NVDA,0.450909
2022-01-10,NVDA,0.445923
2022-01-11,NVDA,0.45295
2022-01-12,NVDA,0.432845
2022-01-13,NVDA,0.4582
2022-01-14,NVDA,0.455452
2022-01-18,NVDA,0.450362
2022-01-19,NVDA,0.436943
2022-01-20,NVDA,0.427818
2022-01-21,NVDA,0.415437
2022-01-24,NVDA,0.407706
2022-01-25,NVDA,0.408364
2022-01-26,NVDA,0.423535
2022-01-27,NVDA,0.417224
2022-01-28,NVDA,0.458623
2022-01-31,NVDA,0.542354
2022-02-01,NVDA,0.531683
2022-02-02,NVDA,0.531413
2022-02-03,NVDA,0.538701
2022-02-04,NVDA,0.533182
2022-02-07,NVDA,0.528194
2022-02-08,NVDA,0.522443
2022-02-09,NVDA,0.555453
2022-02-10,NVDA,0.55195
