Date,Ticker,Close_Price
2023-06-06,GOOGL,126.2664
2023-06-07,GOOGL,121.4958
2023-06-08,GOOGL,121.1388
2023-06-09,GOOGL,121.2281
2023-06-12,GOOGL,122.6265
2023-06-13,GOOGL,122.8149
2023-06-14,GOOGL,122.6563
2023-06-15,GOOGL,124.0646
2023-06-16,GOOGL,122.5174
2023-06-20,GOOGL,122.0909
2023-06-21,GOOGL,119.5618
2023-06-22,GOOGL,122.1405
2023-06-23,GOOGL,121.3371
2023-06-26,GOOGL,117.3699
2023-06-27,GOOGL,117.36
2023-06-28,GOOGL,119.1949
2023-06-29,GOOGL,118.1237
2023-06-30,GOOGL,118.7188
2023-07-03,GOOGL,118.9172
2023-07-05,GOOGL,120.752
2023-07-06,GOOGL,119.1254
2023-07-07,GOOGL,118.5006
2023-07-10,GOOGL,115.4954
2023-07-11,GOOGL,116.1798
2023-07-12,GOOGL,117.9551
2023-07-13,GOOGL,123.5191
2023-07-14,GOOGL,124.3919
2023-07-17,GOOGL,123.6282
2023-07-18,GOOGL,122.7455
2023-07-19,GOOGL,121.0297
2023-07-20,GOOGL,118.2229
2023-07-21,GOOGL,119.0362
2023-07-24,GOOGL,120.5338
2023-07-25,GOOGL,121.2082
2023-07-26,GOOGL,128.2103
2023-07-27,GOOGL,128.3393
2023-07-28,GOOGL,131.4932
2023-07-31,GOOGL,131.6321
2023-08-01,GOOGL,130.4717
2023-08-02,GOOGL,127.3276
2023-08-03,GOOGL,127.3971
2023-08-04,GOOGL,127.0599
2023-08-07,GOOGL,130.4518
2023-08-08,GOOGL,130.3229
2023-08-09,GOOGL,128.5971
2023-08-10,GOOGL,128.6269
2023-08-11,GOOGL,128.4979
2023-08-14,GOOGL,130.2534
2023-08-15,GOOGL,128.7162
2023-08-16,GOOGL,127.645
2023-08-17,GOOGL,128.855
2023-08-18,GOOGL,126.4152
2023-08-21,GOOGL,127.3177
2023-08-22,GOOGL,128.0219
2023-08-23,GOOGL,131.2849
2023-08-24,GOOGL,128.7162
2023-08-25,GOOGL,128.8153
2023-08-28,GOOGL,129.9361
2023-08-29,GOOGL,133.4669
2023-08-30,GOOGL,134.7661
2023-08-31,GOOGL,135.0538
2023-09-01,GOOGL,134.5479
2023-09-05,GOOGL,134.6571
2023-09-06,GOOGL,133.3578
2023-09-07,GOOGL,134.1512
2023-09-08,GOOGL,135.2621
2023-09-11,GOOGL,135.7977
2023-09-12,GOOGL,134.2306
2023-09-13,GOOGL,135.5894
2023-09-14,GOOGL,136.968
2023-09-15,GOOGL,136.2737
2023-09-18,GOOGL,137.077
2023-09-19,GOOGL,136.9084
2023-09-20,GOOGL,132.6437
2023-09-21,GOOGL,129.3708
2023-09-22,GOOGL,129.1823
2023-09-25,GOOGL,130.0353
2023-09-26,GOOGL,127.5161
2023-09-27,GOOGL,129.4699
2023-09-28,GOOGL,131.2254
2023-09-29,GOOGL,129.7873
2023-10-02,GOOGL,133.0702
2023-10-03,GOOGL,131.3445
2023-10-04,GOOGL,134.1314
2023-10-05,GOOGL,133.9628
2023-10-06,GOOGL,136.4522
2023-10-09,GOOGL,137.2853
2023-10-10,GOOGL,136.9283
2023-10-11,GOOGL,139.3979
2023-10-12,GOOGL,137.8308
2023-10-13,GOOGL,136.234
2023-10-16,GOOGL,137.9598
2023-10-17,GOOGL,138.5747
2023-10-18,GOOGL,136.8291
2023-10-19,GOOGL,136.6208
2023-10-20,GOOGL,134.4885
2023-10-23,GOOGL,135.3811
2023-10-24,GOOGL,137.6721
2023-10-25,GOOGL,124.5803
2023-10-26,GOOGL,121.2776
2023-10-27,GOOGL,121.1685
2023-10-30,GOOGL,123.4398
2023-10-31,GOOGL,123.0629
2023-11-01,GOOGL,125.4135
2023-11-02,GOOGL,126.4449
2023-11-03,GOOGL,128.0417
2023-11-06,GOOGL,129.1823
2023-11-07,GOOGL,129.8964
2023-11-08,GOOGL,130.7593
2023-11-09,GOOGL,129.1724
2023-11-10,GOOGL,131.5031
2023-11-13,GOOGL,131.0072
2023-11-14,GOOGL,132.5247
2023-11-15,GOOGL,133.5165
2023-11-16,GOOGL,135.8075
2023-11-17,GOOGL,134.2008
2023-11-20,GOOGL,135.1331
2023-11-21,GOOGL,135.8472
2023-11-22,GOOGL,137.3548
2023-11-24,GOOGL,135.5695
2023-11-27,GOOGL,135.2918
2023-11-28,GOOGL,136.0753
2023-11-29,GOOGL,133.8834
2023-11-30,GOOGL,131.4436
2023-12-01,GOOGL,130.7791
2023-12-04,GOOGL,128.2103
2023-12-05,GOOGL,129.9162
2023-12-06,GOOGL,128.9542
2023-12-07,GOOGL,135.8075
2023-12-08,GOOGL,133.8834
2023-12-11,GOOGL,132.1974
2023-12-12,GOOGL,131.4337
2023-12-13,GOOGL,131.4833
2023-12-14,GOOGL,130.8585
2023-12-15,GOOGL,131.5131
2023-12-18,GOOGL,134.6868
2023-12-19,GOOGL,135.5298
2023-12-20,GOOGL,137.206
2023-12-21,GOOGL,139.2689
2023-12-22,GOOGL,140.3302
2023-12-26,GOOGL,140.36
2023-12-27,GOOGL,139.2194
2023-12-28,GOOGL,139.0805
2023-12-29,GOOGL,138.5449
2024-01-02,GOOGL,137.0374
2024-01-03,GOOGL,137.7812
2024-01-04,GOOGL,135.272
2024-01-05,GOOGL,134.6174
2024-01-08,GOOGL,137.7019
2024-01-09,GOOGL,139.7946
2024-01-10,GOOGL,141.1137
2024-01-11,GOOGL,140.9153
2024-01-12,GOOGL,141.4807
2024-01-16,GOOGL,141.322
2024-01-17,GOOGL,140.3103
2024-01-18,GOOGL,142.3038
2024-01-19,GOOGL,145.1801
2024-01-22,GOOGL,144.7933
2024-01-23,GOOGL,145.8347
2024-01-24,GOOGL,147.4811
2024-01-25,GOOGL,150.6251
2024-01-26,GOOGL,150.9425
2024-01-29,GOOGL,152.2516
2024-01-30,GOOGL,150.2185
2024-01-31,GOOGL,138.9516
2024-02-01,GOOGL,140.0029
2024-02-02,GOOGL,141.2129
2024-02-05,GOOGL,142.5022
2024-02-06,GOOGL,142.9188
2024-02-07,GOOGL,144.347
2024-02-08,GOOGL,144.7139
2024-02-09,GOOGL,147.7786
2024-02-12,GOOGL,146.3207
2024-02-13,GOOGL,143.9503
2024-02-14,GOOGL,144.7437
2024-02-15,GOOGL,141.5997
2024-02-16,GOOGL,139.3681
2024-02-20,GOOGL,139.9632
2024-02-21,GOOGL,141.3815
2024-02-22,GOOGL,142.9088
2024-02-23,GOOGL,142.7799
2024-02-26,GOOGL,136.4423
2024-02-27,GOOGL,137.7416
2024-02-28,GOOGL,135.2621
2024-02-29,GOOGL,137.325
2024-03-01,GOOGL,136.0158
2024-03-04,GOOGL,132.2569
2024-03-05,GOOGL,131.5825
2024-03-06,GOOGL,130.3229
2024-03-07,GOOGL,133.2785
2024-03-08,GOOGL,134.3
2024-03-11,GOOGL,136.5415
2024-03-12,GOOGL,137.3647
2024-03-13,GOOGL,138.6441
2024-03-14,GOOGL,141.927
2024-03-15,GOOGL,140.0227
2024-03-18,GOOGL,146.4694
2024-03-19,GOOGL,145.8248
2024-03-20,GOOGL,147.5207
2024-03-21,GOOGL,146.3901
2024-03-22,GOOGL,149.5341
2024-03-25,GOOGL,148.8398
2024-03-26,GOOGL,149.4349
2024-03-27,GOOGL,149.6333
2024-03-28,GOOGL,149.6928
2024-04-01,GOOGL,154.2154
2024-04-02,GOOGL,153.293
2024-04-03,GOOGL,153.6501
2024-04-04,GOOGL,149.2961
2024-04-05,GOOGL,151.2499
2024-04-08,GOOGL,153.5806
2024-04-09,GOOGL,155.3163
2024-04-10,GOOGL,154.8601
2024-04-11,GOOGL,158.1033
2024-04-12,GOOGL,156.437
2024-04-15,GOOGL,153.5906
2024-04-16,GOOGL,153.1344
2024-04-17,GOOGL,154.1956
2024-04-18,GOOGL,154.7312
2024-04-19,GOOGL,152.8269
2024-04-22,GOOGL,154.9989
2024-04-23,GOOGL,156.9627
2024-04-24,GOOGL,157.8256
2024-04-25,GOOGL,154.7212
2024-04-26,GOOGL,170.5405
2024-04-29,GOOGL,164.788
2024-04-30,GOOGL,161.4457
2024-05-01,GOOGL,162.5168
2024-05-02,GOOGL,165.2542
2024-05-03,GOOGL,165.8691
2024-05-06,GOOGL,166.722
2024-05-07,GOOGL,169.8462
2024-05-08,GOOGL,167.9915
2024-05-09,GOOGL,168.5668
2024-05-10,GOOGL,167.2675
2024-05-13,GOOGL,167.7535
2024-05-14,GOOGL,168.9437
2024-05-15,GOOGL,171.0959
2024-05-16,GOOGL,172.7522
2024-05-17,GOOGL,174.6168
2024-05-20,GOOGL,175.4697
2024-05-21,GOOGL,176.3921
2024-05-22,GOOGL,174.9342
2024-05-23,GOOGL,172.1273
2024-05-24,GOOGL,173.5556
2024-05-28,GOOGL,174.954
2024-05-29,GOOGL,174.4581
2024-05-30,GOOGL,170.6992
2024-05-31,GOOGL,171.086
2024-06-03,GOOGL,171.7505
2024-06-04,GOOGL,172.3654
2024-06-05,GOOGL,173.9721
2024-06-06,GOOGL,175.2813
2024-06-07,GOOGL,173.0299
2024-06-10,GOOGL,173.7746
2024-06-11,GOOGL,175.3732
2024-06-12,GOOGL,176.535
2024-06-13,GOOGL,173.9236
2024-06-14,GOOGL,175.5421
2024-06-17,GOOGL,175.9889
2024-06-18,GOOGL,173.854
2024-06-20,GOOGL,175.0555
2024-06-21,GOOGL,178.362
2024-06-24,GOOGL,177.9549
2024-06-25,GOOGL,182.7309
2024-06-26,GOOGL,182.582
2024-06-27,GOOGL,184.1012
2024-06-28,GOOGL,180.8642
2024-07-01,GOOGL,181.6983
2024-07-02,GOOGL,183.9324
2024-07-03,GOOGL,184.5083
2024-07-05,GOOGL,189.2546
2024-07-08,GOOGL,187.6956
2024-07-09,GOOGL,187.646
2024-07-10,GOOGL,189.8305
2024-07-11,GOOGL,184.2601
2024-07-12,GOOGL,183.7636
2024-07-15,GOOGL,185.2133
2024-07-16,GOOGL,182.6217
2024-07-17,GOOGL,179.7422
2024-07-18,GOOGL,176.4357
2024-07-19,GOOGL,176.4059
2024-07-22,GOOGL,180.3876
2024-07-23,GOOGL,180.5067
2024-07-24,GOOGL,171.4114
2024-07-25,GOOGL,166.0992
2024-07-26,GOOGL,165.8212
2024-07-29,GOOGL,168.3333
2024-07-30,GOOGL,169.0879
2024-07-31,GOOGL,170.3291
2024-08-01,GOOGL,169.5546
2024-08-02,GOOGL,165.4836
2024-08-05,GOOGL,158.1259
2024-08-06,GOOGL,157.1726
2024-08-07,GOOGL,157.8181
2024-08-08,GOOGL,160.8862
2024-08-09,GOOGL,162.5147
2024-08-12,GOOGL,161.1444
2024-08-13,GOOGL,163.0012
2024-08-14,GOOGL,159.2379
2024-08-15,GOOGL,160.1614
2024-08-16,GOOGL,161.8097
2024-08-19,GOOGL,165.4935
2024-08-20,GOOGL,165.9999
2024-08-21,GOOGL,164.6793
2024-08-22,GOOGL,162.6438
2024-08-23,GOOGL,164.4509
2024-08-26,GOOGL,164.9871
2024-08-27,GOOGL,163.5175
2024-08-28,GOOGL,161.7004
2024-08-29,GOOGL,160.638
2024-08-30,GOOGL,162.2267
2024-09-03,GOOGL,156.2492
2024-09-04,GOOGL,155.3456
2024-09-05,GOOGL,156.1301
2024-09-06,GOOGL,149.8547
2024-09-09,GOOGL,147.8562
2024-09-10,GOOGL,147.8065
2024-09-11,GOOGL,150.2921
2024-09-12,GOOGL,153.8019
2024-09-13,GOOGL,156.556
2024-09-16,GOOGL,157.1525
2024-09-17,GOOGL,158.4053
2024-09-18,GOOGL,158.8925
2024-09-19,GOOGL,161.2091
2024-09-20,GOOGL,162.6508
2024-09-23,GOOGL,160.9208
2024-09-24,GOOGL,161.3582
2024-09-25,GOOGL,160.5628
2024-09-26,GOOGL,161.7957
2024-09-27,GOOGL,163.0087
2024-09-30,GOOGL,164.8978
2024-10-01,GOOGL,166.0312
2024-10-02,GOOGL,164.9077
2024-10-03,GOOGL,164.9077
2024-10-04,GOOGL,166.1009
2024-10-07,GOOGL,162.0443
2024-10-08,GOOGL,163.4362
2024-10-09,GOOGL,160.9307
2024-10-10,GOOGL,161.1494
2024-10-11,GOOGL,162.3028
2024-10-14,GOOGL,164.0129
2024-10-15,GOOGL,164.51
2024-10-16,GOOGL,164.2118
2024-10-17,GOOGL,161.9946
2024-10-18,GOOGL,162.4817
2024-10-21,GOOGL,163.128
2024-10-22,GOOGL,164.1919
2024-10-23,GOOGL,161.8454
2024-10-24,GOOGL,161.7858
2024-10-25,GOOGL,164.3211
2024-10-28,GOOGL,165.7628
2024-10-29,GOOGL,168.7058
2024-10-30,GOOGL,173.4584
2024-10-31,GOOGL,170.1276
2024-11-01,GOOGL,170.3065
2024-11-04,GOOGL,168.2683
2024-11-05,GOOGL,168.7655
2024-11-06,GOOGL,175.4966
2024-11-07,GOOGL,179.7122
2024-11-08,GOOGL,177.326
2024-11-11,GOOGL,179.3145
2024-11-12,GOOGL,180.5773
2024-11-13,GOOGL,177.853
2024-11-14,GOOGL,174.5719
2024-11-15,GOOGL,171.4997
2024-11-18,GOOGL,174.2935
2024-11-19,GOOGL,177.0973
2024-11-20,GOOGL,174.9696
2024-11-21,GOOGL,166.6676
2024-11-22,GOOGL,163.8141
2024-11-25,GOOGL,166.6875
2024-11-26,GOOGL,168.149
2024-11-27,GOOGL,168.2584
2024-11-29,GOOGL,167.98
2024-12-02,GOOGL,170.5054
2024-12-03,GOOGL,170.3563
2024-12-04,GOOGL,173.3689
2024-12-05,GOOGL,171.6488
2024-12-06,GOOGL,173.7069
2024-12-09,GOOGL,174.563
2024-12-10,GOOGL,184.3179
2024-12-11,GOOGL,194.5008
2024-12-12,GOOGL,191.0766
2024-12-13,GOOGL,188.9465
2024-12-16,GOOGL,195.755
2024-12-17,GOOGL,194.5207
2024-12-18,GOOGL,187.533
2024-12-19,GOOGL,187.6425
2024-12-20,GOOGL,190.5292
2024-12-23,GOOGL,193.7343
2024-12-24,GOOGL,195.2075
2024-12-26,GOOGL,194.6999
2024-12-27,GOOGL,191.8729
2024-12-30,GOOGL,190.36
2024-12-31,GOOGL,188.4289
2025-01-02,GOOGL,188.5583
2025-01-03,GOOGL,190.9074
2025-01-06,GOOGL,195.964
2025-01-07,GOOGL,194.5904
2025-01-08,GOOGL,193.0575
2025-01-10,GOOGL,191.1562
2025-01-13,GOOGL,190.131
2025-01-14,GOOGL,188.7872
2025-01-15,GOOGL,194.6501
2025-01-16,GOOGL,192.0222
2025-01-17,GOOGL,195.098
2025-01-21,GOOGL,197.1386
2025-01-22,GOOGL,197.4571
2025-01-23,GOOGL,197.0689
2025-01-24,GOOGL,199.2887
2025-01-27,GOOGL,190.9273
2025-01-28,GOOGL,194.4013
2025-01-29,GOOGL,194.5107
2025-01-30,GOOGL,199.9456
2025-01-31,GOOGL,203.0811
2025-02-03,GOOGL,200.304
2025-02-04,GOOGL,205.4303
2025-02-05,GOOGL,190.4495
2025-02-06,GOOGL,190.7183
2025-02-07,GOOGL,184.4871
2025-02-10,GOOGL,185.6119
2025-02-11,GOOGL,184.4672
2025-02-12,GOOGL,182.765
